Playbook Name,Play Name,Task Name,LOC_playbook,num_plays,num_tasks_playbook,avg_task_playbook,Num_Imports,Num_Roles,similarity,LOC_play,num_tasks_play,avg_task_play,special_chars_play,LOC_task,task_name_len,special_chars_task,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name
,,Set supervisor to start on boot in Xenial,,,,,,,,,,,,3.0,41.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ReinerNippes\nextcloud\roles\prep_talk\tasks\Fedora.yml,,,28.0,0.0,4.0,7.0,0.0,0.0,0.3778093556701001,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,install coturn,,,,,,,,,,,,4.0,14.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,bring /etc/turnserver/turnserver.conf in place,,,,,,,,,,,,9.0,46.0,4.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,enable turnserver,,,,,,,,,,,,5.0,17.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,open firewall,,,,,,,,,,,,9.0,13.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fgci-org\fgci-ansible\admin_ohpc.yml,,,43.0,1.0,0.0,0.0,0.0,24.0,1.0,,,,,,,,0,1,1,1,0,0,0,0,0,0,#,#,#,#
,Configure Admin Node,,,,,,,,,94.0,0.0,0.0,0.0,,,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CenterForOpenScience\cos-ansible-base\roles\docker-osf\tasks\adminserver.yml,,,58.0,0.0,5.0,12.0,0.0,0.0,0.6777827715849927,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Ensure docker osf adminserver directories exist,,,,,,,,,,,,10.0,47.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Ensure docker osf adminserver data directories exist,,,,,,,,,,,,13.0,52.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Copy docker osf adminserver configuration settings,,,,,,,,,,,,9.0,50.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Restart docker osf adminserver container,,,,,,,,,,,,6.0,40.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Run docker osf adminserver container,,,,,,,,,,,,20.0,36.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dresden-weekly\ansible-network-interfaces\tasks\all_interfaces.yml,,,10.0,0.0,2.0,5.0,0.0,0.0,0.5532298543535462,,,,,,,,0,0,0,0,0,0,1,0,0,0,#,#,#,#
,,create directory,,,,,,,,,,,,4.0,16.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,all interfaces,,,,,,,,,,,,6.0,14.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\docker\tasks\applications.yml,,,13.0,0.0,1.0,10.0,0.0,0.0,1.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Applications > Templates,,,,,,,,,,,,10.0,24.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\debops\ansible-sshd\tasks\authorized_keys_lookup.yml,,,50.0,0.0,6.0,8.0,0.0,0.0,0.6150465636341867,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Create OpenSSH lookup system group,,,,,,,,,,,,5.0,34.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create OpenSSH lookup system user,,,,,,,,,,,,11.0,33.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create OpenSSH LDAP bind password file,,,,,,,,,,,,10.0,38.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Create /etc/ssh/authorized_keys_lookup.d directory,,,,,,,,,,,,7.0,50.0,6.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Generate authorized keys lookup scripts,,,,,,,,,,,,10.0,39.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Generate authorized keys lookup hook,,,,,,,,,,,,7.0,36.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dimagi\commcare-cloud\src\commcare_cloud\ansible\roles\pg_backup\tasks\backup_plain_clean.yml,,,44.0,0.0,4.0,12.0,0.0,0.0,0.7072092745742841,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Remove old Hourly Cron job,,,,,,,,,,,,12.0,26.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Remove old Daily Cron job,,,,,,,,,,,,11.0,25.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Remove old Weekly Cron job,,,,,,,,,,,,12.0,26.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Remove plain backup files,,,,,,,,,,,,11.0,25.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\AtlasOfLivingAustralia\ala-install\ansible\roles\postgresql\tasks\barman.yml,,,35.0,0.0,7.0,4.0,0.0,0.0,0.3349091870923284,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,setup apt,,,,,,,,,,,,2.0,9.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Barman | Install Barman,,,,,,,,,,,,6.0,23.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Barman | create /etc/barman.d,,,,,,,,,,,,2.0,29.0,4.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Barman | deploy global configuration,,,,,,,,,,,,2.0,36.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,remove default cron to add log support,,,,,,,,,,,,3.0,38.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,replace default cron to add log support,,,,,,,,,,,,7.0,39.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Barman | Do a daily backup of all servers,,,,,,,,,,,,9.0,41.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ebbba-org\ansible-role-bigbluebutton\tasks\bbb-html5.yml,,,62.0,0.0,9.0,7.0,0.0,0.0,0.5609902155951028,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Configure cluster proxy in meteor,,,,,,,,,,,,5.0,33.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Write custom meteor config,,,,,,,,,,,,8.0,26.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Enable sipjsHackViaWs,,,,,,,,,,,,8.0,21.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Disable sipjsHackViaWs,,,,,,,,,,,,8.0,22.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set loadbalancer.nginx for the cluster proxy,,,,,,,,,,,,7.0,44.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set bbb-html5.nginx for the cluster proxy,,,,,,,,,,,,7.0,41.0,2.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Increase max-old-space-size in frontends,,,,,,,,,,,,8.0,40.0,3.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Set amount of html5 back- and frontends,,,,,,,,,,,,8.0,39.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Setup html5-frontend nginx connections,,,,,,,,,,,,6.0,38.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible\kolla-ansible\ansible\roles\searchlight\tasks\bootstrap_service.yml,,,18.0,0.0,1.0,18.0,0.0,0.0,1.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Running Searchlight bootstrap container,,,,,,,,,,,,18.0,39.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\designate\tasks\bootstrap_service.yml,,,19.0,0.0,1.0,19.0,0.0,0.0,1.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Running Designate bootstrap container,,,,,,,,,,,,19.0,37.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\maticnetwork\node-ansible\playbooks\bor.yml,,,5.0,1.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,Install Bor,,,,,,,,,5.0,0.0,0.0,0.0,,,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-quickstart\playbooks\build-images.yml,,,22.0,3.0,0.0,0.0,0.0,5.0,0.8415849185474901,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,Add virthost to inventory,,,,,,,,,4.0,0.0,0.0,0.0,,,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Add the virthost node to the generated inventory,,,,,,,,,5.0,0.0,0.0,0.0,,,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,Setup the virthost to build images then build them,,,,,,,,,8.0,0.0,0.0,0.0,,,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sky-uk\clusterverse\redeploy\_scheme_rmvm_keepdisk_rollback\tasks\by_hosttype_by_host.yml,,,46.0,0.0,8.0,7.0,0.0,0.0,0.512377716785813,,,,,,,,1,1,0,0,0,0,0,0,0,0,#,#,#,#
,,Unknown,,,,,,,,,,,,1.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,stop/ remove previous instance,,,,,,,,,,,,19.0,30.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
,,by_hosttype_by_host | run predeleterole role,,,,,,,,,,,,6.0,44.0,4.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,by_hosttype_by_host | Power off old VM,,,,,,,,,,,,7.0,38.0,4.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,by_hosttype_by_host | Run {{mainclusteryml}} to add {{host_to_redeploy.hostname}} to cluster,,,,,,,,,,,,8.0,92.0,15.0,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Unknown,,,,,,,,,,,,3.0,0.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"by_hosttype_by_host | re-acquire cluster_hosts_state (NOT cluster_hosts_target, as we are augmenting this in _add_src_diskinfo_to_cluster_hosts_target__ (also, it is not affected by change of state))",,,,,,,,,,,,6.0,199.0,24.0,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,"by_hosttype_by_host | Power on new VM (not needed for normal redeploy, but for rescue case)",,,,,,,,,,,,9.0,91.0,7.0,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,by_hosttype_by_host | re-acquire the dynamic inventory,,,,,,,,,,,,3.0,54.0,5.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"by_hosttype_by_host | re-acquire cluster_hosts_state (NOT cluster_hosts_target, as we are augmenting this in _add_src_diskinfo_to_cluster_hosts_target__ (also, it is not affected by change of state))",,,,,,,,,,,,6.0,199.0,24.0,#,#,#,#,#,#,#,#,#,#,#,#,0,1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\bdellegrazie\ansible-role-ca-certificates\tasks\ca_certificates-trusted.yml,,,30.0,0.0,2.0,15.0,0.0,0.0,0.9729129723528516,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Install trusted CA Certificates,,,,,,,,,,,,16.0,31.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
,,Install remote trusted CA Certificates,,,,,,,,,,,,14.0,38.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-os_ceilometer\tasks\ceilometer_install.yml,,,57.0,0.0,5.0,10.0,0.0,0.0,0.6792737239850981,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Record the installation method,,,,,,,,,,,,6.0,30.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Refresh local facts to ensure the ceilometer section is present,,,,,,,,,,,,4.0,63.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Install distro packages,,,,,,,,,,,,12.0,23.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Retrieve the constraints URL,,,,,,,,,,,,5.0,28.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Install the python venv,,,,,,,,,,,,22.0,23.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sodafoundation\installer\ansible\roles\osdsdock\scenarios\ceph.yml,,,214.0,0.0,23.0,6.0,5.0,0.0,0.3226400078899837,,,,,,,,0,1,0,1,0,0,0,0,0,1,#,#,#,#
,,ceph pre-flight check,,,,,,,,,,,,2.0,21.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check ceph exists,,,,,,,,,,,,6.0,17.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check the installed ceph version,,,,,,,,,,,,7.0,32.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set_fact installed_ceph_version,,,,,,,,,,,,5.0,31.0,3.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check if the installed ceph is healthy or not,,,,,,,,,,,,9.0,45.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,set_fact ceph_health,,,,,,,,,,,,4.0,20.0,2.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,stat /etc/ceph/ceph.conf,,,,,,,,,,,,4.0,24.0,4.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"paranoia check for ""/etc/ceph/ceph.conf"" and its consistency",,,,,,,,,,,,8.0,60.0,6.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check ceph cluster member status,,,,,,,,,,,,14.0,32.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
,,set_fact ceph_cluster_health_status,,,,,,,,,,,,6.0,35.0,4.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,check if the existing ceph is the required version or not,,,,,,,,,,,,17.0,57.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
,,set_fact ceph_version_check,,,,,,,,,,,,5.0,27.0,3.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if downgrade of the existing ceph required.,,,,,,,,,,,,6.0,48.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install notario package with pip when ceph backend enabled,,,,,,,,,,,,5.0,58.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,configure opensds global info osdsdock ceph,,,,,,,,,,,,17.0,43.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
,,copy opensds ceph backend file to ceph config file if specify ceph backend,,,,,,,,,,,,4.0,74.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,incorrect - older/newer - version ceph is running properly,,,,,,,,,,,,5.0,58.0,3.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"ceph cluster member health check, especially osds are up or not",,,,,,,,,,,,5.0,63.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,uninstall ceph on upgrade/downgrade installation,,,,,,,,,,,,4.0,48.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,install ceph,,,,,,,,,,,,4.0,12.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,wait until ceph stabilizes,,,,,,,,,,,,2.0,26.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,create specified pools and initialize them with default pool size.,,,,,,,,,,,,5.0,66.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,wait until defined ceph pooll are visible,,,,,,,,,,,,2.0,41.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-ceph_client\tasks\ceph_preinstall_apt.yml,,,59.0,0.0,5.0,8.0,0.0,0.0,0.3707883219781333,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Remove revoked ceph apt-keys,,,,,,,,,,,,10.0,28.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,"If a keyfile is provided, copy the gpg keyfile to the key location",,,,,,,,,,,,6.0,66.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Add ceph apt-keys,,,,,,,,,,,,11.0,17.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Add ceph repo(s),,,,,,,,,,,,7.0,16.0,2.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Update Apt cache,,,,,,,,,,,,8.0,16.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\memcached\tasks\check-containers.yml,,,16.0,0.0,1.0,16.0,0.0,0.0,1.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Check memcached container,,,,,,,,,,,,16.0,25.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CentOS-PaaS-SIG\linchpin\dev_setup\playbooks\roles\pipeline\tasks\check_builds.yml,,,11.0,0.0,2.0,6.0,0.0,0.0,0.3137563540458568,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,{{ container_config_name }} :: Wait for {{ container_config_name }} to be built and marked with latest tag,,,,,,,,,,,,8.0,106.0,14.0,#,#,#,#,#,#,#,#,#,#,#,#,0,1
,,Modify tags on images,,,,,,,,,,,,4.0,21.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\hortonworks\ansible-hortonworks\playbooks\check_dynamic_blueprint.yml,,,98.0,1.0,19.0,6.0,0.0,0.0,0.7544725633948901,,,,,,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#
,Check if the dynamic blueprint requested configuration is correct,,,,,,,,,131.0,19.0,6.894736842105263,0.0,,,,#,#,#,#,#,#,#,#,#,#,1,0,#,#
,,Fail if there is no Ansible inventory group matching the blueprint's host_groups,,,,,,,,,,,,8.0,80.0,2.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if ZooKeeper is not present,,,,,,,,,,,,4.0,32.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Ranger prerequisites are not met,,,,,,,,,,,,5.0,40.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Ranger KMS prerequisites are not met,,,,,,,,,,,,4.0,44.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Atlas prerequisites are not met,,,,,,,,,,,,7.0,39.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Streamline prerequisites are not met,,,,,,,,,,,,4.0,44.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Registry prerequisites are not met,,,,,,,,,,,,4.0,42.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Druid HA prerequisites are not met,,,,,,,,,,,,5.0,42.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if Amazon Linux prerequisites are not met,,,,,,,,,,,,6.0,46.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the selected components should not be part of an HDP 3 blueprint,,,,,,,,,,,,9.0,72.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the selected components should not be part of an HDP 2 blueprint,,,,,,,,,,,,8.0,72.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required HDFS components are not part of the blueprint,,,,,,,,,,,,9.0,66.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if HA NameNode prerequisites are not met (3 JournalNodes),,,,,,,,,,,,5.0,62.0,2.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if HA NameNode prerequisites are not met (ZKFC),,,,,,,,,,,,6.0,52.0,2.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if SECONDARY_NAMENODE is present with multiple NAMENODE,,,,,,,,,,,,5.0,60.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required Yarn components are not part of the blueprint,,,,,,,,,,,,9.0,66.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required Hive components are not part of the blueprint,,,,,,,,,,,,9.0,66.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required Druid components are not part of the blueprint,,,,,,,,,,,,8.0,67.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Fail if the required Accumulo components are not part of the blueprint,,,,,,,,,,,,10.0,70.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\RedHatQE\cinch\cinch\roles\jenkins_slave\tasks\check_swarm_errors.yml,,,10.0,0.0,2.0,2.0,0.0,0.0,0.6484149162912299,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,report errors for swarm service,,,,,,,,,,,,2.0,31.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,exit with failure if swarm service could not connect to the master,,,,,,,,,,,,3.0,66.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\gui\cluster\tasks\chpasswdpolicy.yml,,,7.0,0.0,1.0,14.0,0.0,0.0,1.0,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,chpasswdpolicy | Change default password Policy,,,,,,,,,,,,14.0,47.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ilkilab\agorakube\roles\setup-etcd\tasks\clean-previous-etcd-install.yaml,,,11.0,0.0,2.0,6.0,0.0,0.0,0.4115305666594758,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,Find old ETCD dir binaries,,,,,,,,,,,,6.0,26.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Delete prevous etcd binaries,,,,,,,,,,,,5.0,28.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\contiv\ansible\roles\docker\tasks\cleanup.yml,,,16.0,0.0,5.0,3.0,0.0,0.0,0.5487707388471943,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,,remove all containers,,,,,,,,,,,,3.0,21.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,remove all images,,,,,,,,,,,,3.0,17.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,stop docker,,,,,,,,,,,,2.0,11.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,stop docker tcp socket,,,,,,,,,,,,2.0,22.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,cleanup iptables for docker,,,,,,,,,,,,6.0,27.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\playbooks\cli-overcloud-node-growvols.yaml,,,73.0,1.0,4.0,7.0,0.0,0.0,0.3794680883976629,,,,,,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#
,Overcloud Node Grow Volumes,,,,,,,,,45.0,4.0,11.25,0.0,,,,#,#,#,#,#,#,#,#,#,#,0,0,#,#
,,Set growvols_args,,,,,,,,,,,,5.0,17.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Output growvols_args,,,,,,,,,,,,3.0,20.0,1.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
,,Find the growvols utility,,,,,,,,,,,,7.0,25.0,0.0,#,#,#,#,#,#,#,#,#,#,#,#,0,0
