item,type,LOC_playbook,num_plays,num_tasks_playbook,avg_task_playbook,Num_Imports,Num_Roles,similarity,LOC_play,num_tasks_play,avg_task_play,special_chars_play,LOC_task,task_name_len,special_chars_task,class,smell_label,smell_labels
Generate diskimage-builder images,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\nexcess\ansible-playbook-cloudhost\playbooks\tasks\import-rename.yml,playbook,90,0,18,5,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\spantaleev\matrix-docker-ansible-deploy\roles\custom\matrix-synapse\tasks\init.yml,playbook,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,5,Inconsistent Naming Convention ,cs7,cs7
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,43,0,0,Large Task,cs5,cs5
Generate synapse metrics proxying configuration for matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/main-process),task,0,0,0,0,0,0,0.0,0,0,0.0,0,0,115,0,Long Task Name,cs6,cs6
Register synapse metrics proxying configuration with matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/main-process),task,0,0,0,0,0,0,0.0,0,0,0.0,0,0,116,0,Long Task Name,cs6,cs6
Generate synapse worker metrics proxying configuration for matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/worker),task,0,0,0,0,0,0,0.0,0,0,0.0,0,0,116,0,Long Task Name,cs6,cs6
Register synapse worker metrics proxying configuration with matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/worker),task,0,0,0,0,0,0,0.0,0,0,0.0,0,0,117,0,Long Task Name,cs6,cs6
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\nfs\node\tasks\install_dir_pkg.yml,playbook,198,0,19,10,0,0,0.0,0,0,0.0,0,0,0,0,complex playbook,cs2,cs2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\nfs\node\tasks\install_dir_pkg.yml,playbook,198,0,19,10,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\nfs\node\tasks\install_dir_pkg.yml,playbook,0,0,0,0,0,0,0.683976103,0,0,0.0,0,0,0,0,Incohesive Playbook,cs1,cs1
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,19,0,0,Large Task,cs5,cs5
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,20,0,0,Large Task,cs5,cs5
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,21,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_fileauditlogging\node\tasks\install_local_pkg.yml,playbook,127,0,13,9,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,28,0,0,Large Task,cs5,cs5
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,18,0,0,Large Task,cs5,cs5
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,20,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_object\node\tasks\install_remote_pkg.yml,playbook,88,0,10,8,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,35,0,0,Large Task,cs5,cs5
Configure nginx when inspector boot mode is http,task,0,0,0,0,0,0,0.0,0,0,0.0,0,36,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\cjeanner\tripleo-lab\roles\builder\tasks\libvirt.yaml,playbook,172,0,3,58,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
Create undercloud image based on {{ base_image_name }},task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
create empty image for non-undercloud,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\license_manager.yml,playbook,22,1,0,0,0,6,0.0,0,0,0.0,0,0,0,0,complex playbook,cs2,cs2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\license_manager.yml,playbook,0,0,0,0,0,6,0.0,0,0,0.0,0,0,0,0,high playbook coupling,cs3,cs3
create report,task,0,0,0,0,0,0,0.0,0,0,0.0,0,21,0,0,Large Task,cs5,cs5
Start Heimdall,task,0,0,0,0,0,0,0.0,0,0,0.0,0,51,0,0,Large Task,cs5,cs5
Create Heimdall container,task,0,0,0,0,0,0,0.0,0,0,0.0,0,25,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\HCL-TECH-SOFTWARE\connections-automation\roles\hcl\docs\register-docs-in-news\tasks\main.yml,playbook,0,0,0,0,0,0,0.502561314,0,0,0.0,0,0,0,0,Incohesive Playbook,cs1,cs1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\starlingx\ansible-playbooks\playbookconfig\src\playbooks\roles\update-subcloud\prepare-env\tasks\main.yml,playbook,69,0,14,4,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oraswgi_manage_patches\tasks\main.yml,playbook,201,0,12,11,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
gi_opatch | Manage opatchauto patches for GI (after software only install),task,0,0,0,0,0,0,0.0,0,0,0.0,0,27,0,0,Large Task,cs5,cs5
gi_opatch | Manage opatchauto patches for GI (after software only install),task,0,0,0,0,0,0,0.0,0,0,0.0,0,27,0,0,Long Task Name,cs6,cs6
gi_opatch | Manage opatchauto patches for GI,task,0,0,0,0,0,0,0.0,0,0,0.0,0,25,0,0,Large Task,cs5,cs5
gi_opatch | Manage non opatchauto patches for GI,task,0,0,0,0,0,0,0.0,0,0,0.0,0,26,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\AtlasOfLivingAustralia\ala-install\ansible\roles\fieldguide\tasks\main.yml,playbook,0,0,0,0,0,0,0.408762411,0,0,0.0,0,0,0,0,Incohesive Playbook,cs1,cs1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\alvistack\ansible-role-jira\tasks\main.yml,playbook,144,0,11,13,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\alvistack\ansible-role-jira\tasks\main.yml,playbook,0,0,0,0,0,0,0.28504349,0,0,0.0,0,0,0,0,Incohesive Playbook,cs1,cs1
include release specific variables,task,0,0,0,0,0,0,0.0,0,0,0.0,0,20,0,0,Large Task,cs5,cs5
include release specific tasks,task,0,0,0,0,0,0,0.0,0,0,0.0,0,20,0,0,Large Task,cs5,cs5
prepare directories,task,0,0,0,0,0,0,0.0,0,0,0.0,0,23,0,0,Large Task,cs5,cs5
copy templates,task,0,0,0,0,0,0,0.0,0,0,0.0,0,21,0,0,Large Task,cs5,cs5
prepare files,task,0,0,0,0,0,0,0.0,0,0,0.0,0,19,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\nuancier\tasks\main.yml,playbook,110,0,12,8,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
copy sundry nuancier configuration,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
replace the nuancier configuration file by the one with the normal user,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\simple-koji-ci\tasks\main.yml,playbook,0,0,0,0,0,0,0.451509504,0,0,0.0,0,0,0,0,Incohesive Playbook,cs1,cs1
copy simple-koji-ci configuration,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\starlingx\ansible-playbooks\playbookconfig\src\playbooks\roles\bootstrap\store-passwd\tasks\main.yml,playbook,122,0,5,21,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,60,0,0,Large Task,cs5,cs5
Store admin password,task,0,0,0,0,0,0,0.0,0,0,0.0,0,17,0,0,Large Task,cs5,cs5
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,21,0,0,Large Task,cs5,cs5
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,20,0,0,Large Task,cs5,cs5
Store service passwords,task,0,0,0,0,0,0,0.0,0,0,0.0,0,18,0,0,Large Task,cs5,cs5
Gather variables for each operating system,task,0,0,0,0,0,0,0.0,0,0,0.0,0,17,0,0,Large Task,cs5,cs5
add OS specific variables,task,0,0,0,0,0,0,0.0,0,0,0.0,0,21,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\deploy\tasks\main.yml,playbook,0,0,0,0,0,0,0.238697476,0,0,0.0,0,0,0,0,Incohesive Playbook,cs1,cs1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ansible\ansible-zuul-jobs\playbooks\ansible-security-trendmicro-deepsec-appliance\roles\tm-deepsec-aws-setup\tasks\main.yml,playbook,179,0,18,10,0,0,0.0,0,0,0.0,0,0,0,0,complex playbook,cs2,cs2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ansible\ansible-zuul-jobs\playbooks\ansible-security-trendmicro-deepsec-appliance\roles\tm-deepsec-aws-setup\tasks\main.yml,playbook,179,0,18,10,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,79,0,0,Large Task,cs5,cs5
add OS specific variables,task,0,0,0,0,0,0,0.0,0,0,0.0,0,21,0,0,Large Task,cs5,cs5
Unknown,task,0,0,0,0,0,0,0.0,0,0,0.0,0,12,0,0,Large Task,cs5,cs5
include distribution tasks,task,0,0,0,0,0,0,0.0,0,0,0.0,0,20,0,0,Large Task,cs5,cs5
save cephadm playbook command to shell script,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
search triple_run_cephadm_output of cephadm run(s) non-zero return codes,task,0,0,0,0,0,0,0.0,0,0,0.0,0,0,72,0,Long Task Name,cs6,cs6
Create and start container,task,0,0,0,0,0,0,0.0,0,0,0.0,0,23,0,0,Large Task,cs5,cs5
install unarchive module pkgs...,task,0,0,0,0,0,0,0.0,0,0,0.0,0,17,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\orahost\tasks\main.yml,playbook,551,0,53,10,0,0,0.0,0,0,0.0,0,0,0,0,complex playbook,cs2,cs2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\orahost\tasks\main.yml,playbook,551,0,53,10,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
Install custom packages required by Oracle on SLES (oracle_packages_sles),task,0,0,0,0,0,0,0.0,0,0,0.0,0,0,73,0,Long Task Name,cs6,cs6
Install default packages required by Oracle on SLES (version dependant),task,0,0,0,0,0,0,0.0,0,0,0.0,0,0,71,0,Long Task Name,cs6,cs6
Timezone,task,0,0,0,0,0,0,0.0,0,0,0.0,0,17,0,0,Large Task,cs5,cs5
filesytem | mount dir,task,0,0,0,0,0,0,0.0,0,0,0.0,0,17,0,0,Large Task,cs5,cs5
Flush Buffer Cache,task,0,0,0,0,0,0,0.0,0,0,0.0,0,17,0,0,Large Task,cs5,cs5
Configure SSL,task,0,0,0,0,0,0,0.0,0,0,0.0,0,58,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\redhat-openstack\ansible-nfv\roles\configuration\switches_config\tasks\main.yml,playbook,0,0,0,0,0,0,0.290906192,0,0,0.0,0,0,0,0,Incohesive Playbook,cs1,cs1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\pagure\fedmsg\tasks\main.yml,playbook,137,0,12,9,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\pagure\fedmsg\tasks\main.yml,playbook,0,0,0,0,0,0,0.442769935,0,0,0.0,0,0,0,0,Incohesive Playbook,cs1,cs1
setup basic /etc/fedmsg.d/ contents,task,0,0,0,0,0,0,0.0,0,0,0.0,0,18,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\bodhi2\backend\tasks\main.yml,playbook,341,0,37,9,0,0,0.0,0,0,0.0,0,0,0,0,complex playbook,cs2,cs2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\bodhi2\backend\tasks\main.yml,playbook,341,0,37,9,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
install needed packages,task,0,0,0,0,0,0,0.0,0,0,0.0,0,17,0,0,Large Task,cs5,cs5
add apache user to the masher group so it can talk to the monitoring socket,task,0,0,0,0,0,0,0.0,0,0,0.0,0,0,75,0,Long Task Name,cs6,cs6
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\coopdevs\odoo-role\tasks\main.yml,playbook,315,0,39,8,8,0,0.0,0,0,0.0,0,0,0,0,complex playbook,cs2,cs2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\coopdevs\odoo-role\tasks\main.yml,playbook,0,0,0,0,8,0,0.0,0,0,0.0,0,0,0,0,high playbook coupling,cs3,cs3
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\coopdevs\odoo-role\tasks\main.yml,playbook,315,0,39,8,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
Install system packages,task,0,0,0,0,0,0,0.0,0,0,0.0,0,17,0,0,Large Task,cs5,cs5
Force update odoo modules,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
Update in Odoo pip upgraded community modules,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
Build the list of new modules to install,task,0,0,0,0,0,0,0.0,0,0,0.0,0,15,0,0,Large Task,cs5,cs5
Install only new Odoo modules,task,0,0,0,0,0,0,0.0,0,0,0.0,0,19,0,0,Large Task,cs5,cs5
Run docker postgres barman container,task,0,0,0,0,0,0,0.0,0,0,0.0,0,16,0,0,Large Task,cs5,cs5
Configure and start cloudwatch agent,task,0,0,0,0,0,0,0.0,0,0,0.0,0,26,0,0,Large Task,cs5,cs5
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ConnectBox\connectbox-pi\ansible\roles\ansible-postgresql\tasks\main.yml,playbook,98,0,18,5,4,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oradb_rman\tasks\main.yml,playbook,355,0,24,15,0,0,0.0,0,0,0.0,0,0,0,0,complex playbook,cs2,cs2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oradb_rman\tasks\main.yml,playbook,355,0,24,15,0,0,0.0,0,0,0.0,0,0,0,0,Large Playbook,cs4,cs4
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oradb_rman\tasks\main.yml,playbook,355,0,24,15,0,0,0.0,0,0,0.0,0,0,0,0,Insufficient Modularization,cs9,cs9
