item,type,LOC_playbook,num_plays,num_tasks_playbook,avg_task_playbook,Num_Imports,Num_Roles,similarity,LOC_play,num_tasks_play,avg_task_play,special_chars_play,LOC_task,task_name_len,special_chars_task,class
"by_hosttype_by_host | re-acquire cluster_hosts_state (NOT cluster_hosts_target, as we are augmenting this in _add_src_diskinfo_to_cluster_hosts_target__ (also, it is not affected by change of state))",task,0,0,0,0,0,0,0,0,0,0,0,0,199,0,Long Task Name
Install trusted CA Certificates,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
Install the python venv,task,0,0,0,0,0,0,0,0,0,0,0,22,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sodafoundation\installer\ansible\roles\osdsdock\scenarios\ceph.yml,playbook,214,0,23,6,5,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sodafoundation\installer\ansible\roles\osdsdock\scenarios\ceph.yml,playbook,214,0,23,6,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sodafoundation\installer\ansible\roles\osdsdock\scenarios\ceph.yml,playbook,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Inconsistent Naming Convention 
check ceph cluster member status,task,0,0,0,0,0,0,0,0,0,0,0,14,0,0,Large Task
check if the existing ceph is the required version or not,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
configure opensds global info osdsdock ceph,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
copy opensds ceph backend file to ceph config file if specify ceph backend,task,0,0,0,0,0,0,0,0,0,0,0,0,74,0,Long Task Name
Check memcached container,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
{{ container_config_name }} :: Wait for {{ container_config_name }} to be built and marked with latest tag,task,0,0,0,0,0,0,0,0,0,0,0,0,106,0,Long Task Name
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\hortonworks\ansible-hortonworks\playbooks\check_dynamic_blueprint.yml,playbook,98,1,19,6,0,0,0,0,0,0,0,0,0,0,Large Playbook
Check if the dynamic blueprint requested configuration is correct,play,0,0,0,0,0,0,0,131,19,6.894736842,0,0,0,0,Large Play
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\manila\tasks\config.yml,playbook,103,0,9,12,2,0,0,0,0,0,0,0,0,0,Large Playbook
Copying over manila.conf,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
Copying over manila-share.conf,task,0,0,0,0,0,0,0,0,0,0,0,23,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\PowerDNS\pdns_recursor-ansible\tasks\configure.yml,playbook,95,0,8,11,0,0,0,0,0,0,0,0,0,0,Large Playbook
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,19,0,0,Large Task
Ensure the PowerDNS Recursor drop-in unit overrides directory exists (systemd),task,0,0,0,0,0,0,0,0,0,0,0,0,78,0,Long Task Name
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
Wait for ManageWorkspace to be ready (60s delay),task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sensu\sensu-go-ansible\tests\integration\molecule\module_silence\converge.yml,playbook,154,1,26,6,0,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sensu\sensu-go-ansible\tests\integration\molecule\module_silence\converge.yml,playbook,154,1,26,6,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sensu\sensu-go-ansible\tests\integration\molecule\module_silence\converge.yml,playbook,154,1,26,6,0,0,0,0,0,0,0,0,0,0,Insufficient Modularization
Converge,play,0,0,0,0,0,0,0,152,26,5.846153846,0,0,0,0,Large Play
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\roles\tripleo_container_manage\tasks\create.yml,playbook,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Inconsistent Naming Convention 
Create containers managed by Podman for {{ tripleo_container_manage_config }},task,0,0,0,0,0,0,0,0,0,0,0,0,77,0,Long Task Name
Manage container systemd services and cleanup old systemd healthchecks for {{ tripleo_container_manage_config }},task,0,0,0,0,0,0,0,0,0,0,0,0,112,0,Long Task Name
Configure Reverse Proxy,task,0,0,0,0,0,0,0,0,0,0,0,27,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-quickstart\roles\libvirt\setup\undercloud\tasks\customize_overcloud.yml,playbook,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Inconsistent Naming Convention 
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,24,0,0,Large Task
Install required dependencies of EasyBuild (RHEL-compatible),task,0,0,0,0,0,0,0,0,0,0,0,26,0,3,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\roles\tripleo_ceph_distribute_keys\tasks\distribute_conf_and_keys.yaml,playbook,0,0,0,0,0,0,0.118238744,0,0,0,0,0,0,0,Incohesive Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\kubernetes-sigs\kubespray\roles\download\tasks\download_container.yml,playbook,115,0,1,116,0,0,0,0,0,0,0,0,0,0,Large Playbook
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,116,0,0,Large Task
download_container | Download image if required,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
Configure forwarder assets search,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-zuul-jobs\roles\configure-swap\tasks\ephemeral.yaml,playbook,107,0,14,6,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\trailofbits\algo\roles\dns\tasks\freebsd.yml,playbook,0,0,0,0,0,0,0.436808487,0,0,0,0,0,0,0,Incohesive Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ArdanaCLM\cobbler-ansible\roles\cobbler\tasks\get-rhel-loader.yml,playbook,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Inconsistent Naming Convention 
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,30,0,0,Large Task
Avi GslbGeoDbProfile | Create or Update GslbGeoDbProfile,task,0,0,0,0,0,0,0,0,0,0,0,26,0,0,Large Task
Create first time ssl cert with certbot,task,0,0,0,0,0,0,0,0,0,0,0,18,0,0,Large Task
Avi HardwareSecurityModuleGroup | Create or Update HardwareSecurityModuleGroup,task,0,0,0,0,0,0,0,0,0,0,0,0,78,0,Long Task Name
Wait for API to return 200 - mTLS,task,0,0,0,0,0,0,0,0,0,0,0,18,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\community-automation\ansible\roles\http_start\tasks\http_start.yml,playbook,0,0,0,0,0,0,0.163117335,0,0,0,0,0,0,0,Incohesive Playbook
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
Generate diskimage-builder images,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\nexcess\ansible-playbook-cloudhost\playbooks\tasks\import-rename.yml,playbook,90,0,18,5,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\spantaleev\matrix-docker-ansible-deploy\roles\custom\matrix-synapse\tasks\init.yml,playbook,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Inconsistent Naming Convention 
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,43,0,0,Large Task
Generate synapse metrics proxying configuration for matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/main-process),task,0,0,0,0,0,0,0,0,0,0,0,0,115,0,Long Task Name
Register synapse metrics proxying configuration with matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/main-process),task,0,0,0,0,0,0,0,0,0,0,0,0,116,0,Long Task Name
Generate synapse worker metrics proxying configuration for matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/worker),task,0,0,0,0,0,0,0,0,0,0,0,0,116,0,Long Task Name
Register synapse worker metrics proxying configuration with matrix-nginx-proxy (matrix.DOMAIN/metrics/synapse/worker),task,0,0,0,0,0,0,0,0,0,0,0,0,117,0,Long Task Name
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\nfs\node\tasks\install_dir_pkg.yml,playbook,198,0,19,10,0,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\nfs\node\tasks\install_dir_pkg.yml,playbook,198,0,19,10,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\nfs\node\tasks\install_dir_pkg.yml,playbook,0,0,0,0,0,0,0.683976103,0,0,0,0,0,0,0,Incohesive Playbook
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,19,0,0,Large Task
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_fileauditlogging\node\tasks\install_local_pkg.yml,playbook,127,0,13,9,0,0,0,0,0,0,0,0,0,0,Large Playbook
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,28,0,0,Large Task
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,18,0,0,Large Task
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_object\node\tasks\install_remote_pkg.yml,playbook,88,0,10,8,0,0,0,0,0,0,0,0,0,0,Large Playbook
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,35,0,0,Large Task
Configure nginx when inspector boot mode is http,task,0,0,0,0,0,0,0,0,0,0,0,36,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\cjeanner\tripleo-lab\roles\builder\tasks\libvirt.yaml,playbook,172,0,3,58,0,0,0,0,0,0,0,0,0,0,Large Playbook
Create undercloud image based on {{ base_image_name }},task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
create empty image for non-undercloud,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\license_manager.yml,playbook,22,1,0,0,0,6,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\license_manager.yml,playbook,0,0,0,0,0,6,0,0,0,0,0,0,0,0,high playbook coupling
create report,task,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Large Task
Start Heimdall,task,0,0,0,0,0,0,0,0,0,0,0,51,0,0,Large Task
Create Heimdall container,task,0,0,0,0,0,0,0,0,0,0,0,25,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\HCL-TECH-SOFTWARE\connections-automation\roles\hcl\docs\register-docs-in-news\tasks\main.yml,playbook,0,0,0,0,0,0,0.502561314,0,0,0,0,0,0,0,Incohesive Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\starlingx\ansible-playbooks\playbookconfig\src\playbooks\roles\update-subcloud\prepare-env\tasks\main.yml,playbook,69,0,14,4,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oraswgi_manage_patches\tasks\main.yml,playbook,201,0,12,11,0,0,0,0,0,0,0,0,0,0,Large Playbook
gi_opatch | Manage opatchauto patches for GI (after software only install),task,0,0,0,0,0,0,0,0,0,0,0,27,0,0,Large Task
gi_opatch | Manage opatchauto patches for GI (after software only install),task,0,0,0,0,0,0,0,0,0,0,0,27,0,0,Long Task Name
gi_opatch | Manage opatchauto patches for GI,task,0,0,0,0,0,0,0,0,0,0,0,25,0,0,Large Task
gi_opatch | Manage non opatchauto patches for GI,task,0,0,0,0,0,0,0,0,0,0,0,26,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\AtlasOfLivingAustralia\ala-install\ansible\roles\fieldguide\tasks\main.yml,playbook,0,0,0,0,0,0,0.408762411,0,0,0,0,0,0,0,Incohesive Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\alvistack\ansible-role-jira\tasks\main.yml,playbook,144,0,11,13,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\alvistack\ansible-role-jira\tasks\main.yml,playbook,0,0,0,0,0,0,0.28504349,0,0,0,0,0,0,0,Incohesive Playbook
include release specific variables,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
include release specific tasks,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
prepare directories,task,0,0,0,0,0,0,0,0,0,0,0,23,0,0,Large Task
copy templates,task,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Large Task
prepare files,task,0,0,0,0,0,0,0,0,0,0,0,19,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\nuancier\tasks\main.yml,playbook,110,0,12,8,0,0,0,0,0,0,0,0,0,0,Large Playbook
copy sundry nuancier configuration,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
replace the nuancier configuration file by the one with the normal user,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\simple-koji-ci\tasks\main.yml,playbook,0,0,0,0,0,0,0.451509504,0,0,0,0,0,0,0,Incohesive Playbook
copy simple-koji-ci configuration,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\starlingx\ansible-playbooks\playbookconfig\src\playbooks\roles\bootstrap\store-passwd\tasks\main.yml,playbook,122,0,5,21,0,0,0,0,0,0,0,0,0,0,Large Playbook
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,60,0,0,Large Task
Store admin password,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Large Task
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
Store service passwords,task,0,0,0,0,0,0,0,0,0,0,0,18,0,0,Large Task
Gather variables for each operating system,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
add OS specific variables,task,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\deploy\tasks\main.yml,playbook,0,0,0,0,0,0,0.238697476,0,0,0,0,0,0,0,Incohesive Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ansible\ansible-zuul-jobs\playbooks\ansible-security-trendmicro-deepsec-appliance\roles\tm-deepsec-aws-setup\tasks\main.yml,playbook,179,0,18,10,0,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ansible\ansible-zuul-jobs\playbooks\ansible-security-trendmicro-deepsec-appliance\roles\tm-deepsec-aws-setup\tasks\main.yml,playbook,179,0,18,10,0,0,0,0,0,0,0,0,0,0,Large Playbook
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,79,0,0,Large Task
add OS specific variables,task,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Large Task
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,12,0,0,Large Task
include distribution tasks,task,0,0,0,0,0,0,0,0,0,0,0,20,0,0,Large Task
save cephadm playbook command to shell script,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
search triple_run_cephadm_output of cephadm run(s) non-zero return codes,task,0,0,0,0,0,0,0,0,0,0,0,0,72,0,Long Task Name
Create and start container,task,0,0,0,0,0,0,0,0,0,0,0,23,0,0,Large Task
install unarchive module pkgs...,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\orahost\tasks\main.yml,playbook,551,0,53,10,0,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\orahost\tasks\main.yml,playbook,551,0,53,10,0,0,0,0,0,0,0,0,0,0,Large Playbook
Install custom packages required by Oracle on SLES (oracle_packages_sles),task,0,0,0,0,0,0,0,0,0,0,0,0,73,0,Long Task Name
Install default packages required by Oracle on SLES (version dependant),task,0,0,0,0,0,0,0,0,0,0,0,0,71,0,Long Task Name
Timezone,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
filesytem | mount dir,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
Flush Buffer Cache,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
Configure SSL,task,0,0,0,0,0,0,0,0,0,0,0,58,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\redhat-openstack\ansible-nfv\roles\configuration\switches_config\tasks\main.yml,playbook,0,0,0,0,0,0,0.290906192,0,0,0,0,0,0,0,Incohesive Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\pagure\fedmsg\tasks\main.yml,playbook,137,0,12,9,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\pagure\fedmsg\tasks\main.yml,playbook,0,0,0,0,0,0,0.442769935,0,0,0,0,0,0,0,Incohesive Playbook
setup basic /etc/fedmsg.d/ contents,task,0,0,0,0,0,0,0,0,0,0,0,18,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\bodhi2\backend\tasks\main.yml,playbook,341,0,37,9,0,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\bodhi2\backend\tasks\main.yml,playbook,341,0,37,9,0,0,0,0,0,0,0,0,0,0,Large Playbook
install needed packages,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
add apache user to the masher group so it can talk to the monitoring socket,task,0,0,0,0,0,0,0,0,0,0,0,0,75,0,Long Task Name
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\coopdevs\odoo-role\tasks\main.yml,playbook,315,0,39,8,8,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\coopdevs\odoo-role\tasks\main.yml,playbook,0,0,0,0,8,0,0,0,0,0,0,0,0,0,high playbook coupling
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\coopdevs\odoo-role\tasks\main.yml,playbook,315,0,39,8,0,0,0,0,0,0,0,0,0,0,Large Playbook
Install system packages,task,0,0,0,0,0,0,0,0,0,0,0,17,0,0,Large Task
Force update odoo modules,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
Update in Odoo pip upgraded community modules,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
Build the list of new modules to install,task,0,0,0,0,0,0,0,0,0,0,0,15,0,0,Large Task
Install only new Odoo modules,task,0,0,0,0,0,0,0,0,0,0,0,19,0,0,Large Task
Run docker postgres barman container,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
Configure and start cloudwatch agent,task,0,0,0,0,0,0,0,0,0,0,0,26,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ConnectBox\connectbox-pi\ansible\roles\ansible-postgresql\tasks\main.yml,playbook,98,0,18,5,4,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oradb_rman\tasks\main.yml,playbook,355,0,24,15,0,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oradb_rman\tasks\main.yml,playbook,355,0,24,15,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oradb_rman\tasks\main.yml,playbook,355,0,24,15,0,0,0,0,0,0,0,0,0,0,Insufficient Modularization
copy RMAN scipts,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
Template tnsnames.ora for rman catalog,task,0,0,0,0,0,0,0,0,0,0,0,29,0,0,Large Task
Wallet create,task,0,0,0,0,0,0,0,0,0,0,0,26,0,0,Large Task
List wallet contents,task,0,0,0,0,0,0,0,0,0,0,0,26,0,0,Large Task
Wallet createCredential,task,0,0,0,0,0,0,0,0,0,0,0,31,0,0,Large Task
Wallet modifyCredential to ensure password is up to date,task,0,0,0,0,0,0,0,0,0,0,0,30,0,0,Large Task
Register Database in RMAN Catalog,task,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Large Task
Execute RMAN-Script at playbook,task,0,0,0,0,0,0,0,0,0,0,0,24,0,0,Large Task
Add Environment variables to /etc/cron.d,task,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Large Task
Create crontab entries for RMAN Backup,task,0,0,0,0,0,0,0,0,0,0,0,32,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\NationalGenomicsInfrastructure\irma-provision\roles\taca\tasks\main.yml,playbook,74,0,19,5,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Azure\azure_preview_modules\tests\integration\targets\azure_rm_publicipaddress\tasks\main.yml,playbook,95,0,19,5,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Azure\azure_modules\tests\integration\targets\azure_rm_mysqlserver\tasks\main.yml,playbook,585,0,85,7,0,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Azure\azure_modules\tests\integration\targets\azure_rm_mysqlserver\tasks\main.yml,playbook,585,0,85,7,0,0,0,0,0,0,0,0,0,0,Large Playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Azure\azure_modules\tests\integration\targets\azure_rm_mysqlserver\tasks\main.yml,playbook,585,0,85,7,0,0,0,0,0,0,0,0,0,0,Insufficient Modularization
Assert that facts are returned,task,0,0,0,0,0,0,0,0,0,0,0,22,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openedx\configuration\playbooks\roles\ad_hoc_reporting\tasks\main.yml,playbook,169,0,13,12,0,0,0,0,0,0,0,0,0,0,Large Playbook
install single user access mongodb replica scripts,task,0,0,0,0,0,0,0,0,0,0,0,24,0,0,Large Task
Unknown,task,0,0,0,0,0,0,0,0,0,0,0,72,0,0,Large Task
Creating firewall rules,task,0,0,0,0,0,0,0,0,0,0,0,40,0,0,Large Task
Update DHCP for Interface {{ set_network_ipv4_dhcp_label }},task,0,0,0,0,0,0,0,0,0,0,0,18,0,8,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\glusterfs\tasks\main.yml,playbook,0,0,0,0,0,0,0.269161292,0,0,0,0,0,0,0,Incohesive Playbook
Configure RM API credentials,task,0,0,0,0,0,0,0,0,0,0,0,18,0,0,Large Task
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\pagure\frontend\tasks\main.yml,playbook,423,0,48,8,0,0,0,0,0,0,0,0,0,0,complex playbook
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\pagure\frontend\tasks\main.yml,playbook,0,0,0,0,5,5,0,0,0,0,0,0,0,0,high playbook coupling
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\pagure\frontend\tasks\main.yml,playbook,423,0,48,8,0,0,0,0,0,0,0,0,0,0,Large Playbook
install needed packages,task,0,0,0,0,0,0,0,0,0,0,0,21,0,0,Large Task
