Playbook Name,Play Name,Task Name,LOC_playbook,num_plays,num_tasks_playbook,avg_task_playbook,Num_Imports,Num_Roles,similarity,LOC_play,num_tasks_play,avg_task_play,special_chars_play,LOC_task,task_name_len,special_chars_task
,,Applications > Templates,,,,,,,,,,,,10,24,1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\debops\ansible-sshd\tasks\authorized_keys_lookup.yml,,,50,0,6,8,0,0,0.6150465636341867,,,,,,,
,,Create OpenSSH lookup system group,,,,,,,,,,,,5,34,0
,,Create OpenSSH lookup system user,,,,,,,,,,,,11,33,0
,,Create OpenSSH LDAP bind password file,,,,,,,,,,,,10,38,0
,,Create /etc/ssh/authorized_keys_lookup.d directory,,,,,,,,,,,,7,50,6
,,Generate authorized keys lookup scripts,,,,,,,,,,,,10,39,0
,,Generate authorized keys lookup hook,,,,,,,,,,,,7,36,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dimagi\commcare-cloud\src\commcare_cloud\ansible\roles\pg_backup\tasks\backup_plain_clean.yml,,,44,0,4,12,0,0,0.7072092745742841,,,,,,,
,,Remove old Hourly Cron job,,,,,,,,,,,,12,26,0
,,Remove old Daily Cron job,,,,,,,,,,,,11,25,0
,,Remove old Weekly Cron job,,,,,,,,,,,,12,26,0
,,Remove plain backup files,,,,,,,,,,,,11,25,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\AtlasOfLivingAustralia\ala-install\ansible\roles\postgresql\tasks\barman.yml,,,35,0,7,4,0,0,0.3349091870923284,,,,,,,
,,setup apt,,,,,,,,,,,,2,9,0
,,Barman | Install Barman,,,,,,,,,,,,6,23,1
,,Barman | create /etc/barman.d,,,,,,,,,,,,2,29,4
,,Barman | deploy global configuration,,,,,,,,,,,,2,36,1
,,remove default cron to add log support,,,,,,,,,,,,3,38,0
,,replace default cron to add log support,,,,,,,,,,,,7,39,0
,,Barman | Do a daily backup of all servers,,,,,,,,,,,,9,41,1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ebbba-org\ansible-role-bigbluebutton\tasks\bbb-html5.yml,,,62,0,9,7,0,0,0.5609902155951028,,,,,,,
,,Configure cluster proxy in meteor,,,,,,,,,,,,5,33,0
,,Write custom meteor config,,,,,,,,,,,,8,26,0
,,Enable sipjsHackViaWs,,,,,,,,,,,,8,21,0
,,Disable sipjsHackViaWs,,,,,,,,,,,,8,22,0
,,Set loadbalancer.nginx for the cluster proxy,,,,,,,,,,,,7,44,1
,,Set bbb-html5.nginx for the cluster proxy,,,,,,,,,,,,7,41,2
,,Increase max-old-space-size in frontends,,,,,,,,,,,,8,40,3
,,Set amount of html5 back- and frontends,,,,,,,,,,,,8,39,1
,,Setup html5-frontend nginx connections,,,,,,,,,,,,6,38,1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible\kolla-ansible\ansible\roles\searchlight\tasks\bootstrap_service.yml,,,18,0,1,18,0,0,1,,,,,,,
,,Running Searchlight bootstrap container,,,,,,,,,,,,18,39,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\designate\tasks\bootstrap_service.yml,,,19,0,1,19,0,0,1,,,,,,,
,,Running Designate bootstrap container,,,,,,,,,,,,19,37,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\maticnetwork\node-ansible\playbooks\bor.yml,,,5,1,0,0,0,2,1,,,,,,,
,Install Bor,,,,,,,,,5,0,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-quickstart\playbooks\build-images.yml,,,22,3,0,0,0,5,0.8415849185474901,,,,,,,
,Add virthost to inventory,,,,,,,,,4,0,0,0,,,
,Add the virthost node to the generated inventory,,,,,,,,,5,0,0,0,,,
,Setup the virthost to build images then build them,,,,,,,,,8,0,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sky-uk\clusterverse\redeploy\_scheme_rmvm_keepdisk_rollback\tasks\by_hosttype_by_host.yml,,,46,0,8,7,0,0,0.512377716785813,,,,,,,
,,Unknown,,,,,,,,,,,,1,0,0
,,stop/ remove previous instance,,,,,,,,,,,,19,30,1
,,by_hosttype_by_host | run predeleterole role,,,,,,,,,,,,6,44,4
,,by_hosttype_by_host | Power off old VM,,,,,,,,,,,,7,38,4
,,by_hosttype_by_host | Run {{mainclusteryml}} to add {{host_to_redeploy.hostname}} to cluster,,,,,,,,,,,,8,92,15
,,Unknown,,,,,,,,,,,,3,0,0
,,"by_hosttype_by_host | re-acquire cluster_hosts_state (NOT cluster_hosts_target, as we are augmenting this in _add_src_diskinfo_to_cluster_hosts_target__ (also, it is not affected by change of state))",,,,,,,,,,,,6,199,24
,,"by_hosttype_by_host | Power on new VM (not needed for normal redeploy, but for rescue case)",,,,,,,,,,,,9,91,7
,,by_hosttype_by_host | re-acquire the dynamic inventory,,,,,,,,,,,,3,54,5
,,"by_hosttype_by_host | re-acquire cluster_hosts_state (NOT cluster_hosts_target, as we are augmenting this in _add_src_diskinfo_to_cluster_hosts_target__ (also, it is not affected by change of state))",,,,,,,,,,,,6,199,24
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\bdellegrazie\ansible-role-ca-certificates\tasks\ca_certificates-trusted.yml,,,30,0,2,15,0,0,0.9729129723528516,,,,,,,
,,Install trusted CA Certificates,,,,,,,,,,,,16,31,0
,,Install remote trusted CA Certificates,,,,,,,,,,,,14,38,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-os_ceilometer\tasks\ceilometer_install.yml,,,57,0,5,10,0,0,0.6792737239850981,,,,,,,
,,Record the installation method,,,,,,,,,,,,6,30,0
,,Refresh local facts to ensure the ceilometer section is present,,,,,,,,,,,,4,63,0
,,Install distro packages,,,,,,,,,,,,12,23,0
,,Retrieve the constraints URL,,,,,,,,,,,,5,28,0
,,Install the python venv,,,,,,,,,,,,22,23,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sodafoundation\installer\ansible\roles\osdsdock\scenarios\ceph.yml,,,214,0,23,6,5,0,0.32264000788998376,,,,,,,
,,ceph pre-flight check,,,,,,,,,,,,2,21,1
,,check ceph exists,,,,,,,,,,,,6,17,0
,,check the installed ceph version,,,,,,,,,,,,7,32,0
,,set_fact installed_ceph_version,,,,,,,,,,,,5,31,3
,,check if the installed ceph is healthy or not,,,,,,,,,,,,9,45,0
,,set_fact ceph_health,,,,,,,,,,,,4,20,2
,,stat /etc/ceph/ceph.conf,,,,,,,,,,,,4,24,4
,,"paranoia check for ""/etc/ceph/ceph.conf"" and its consistency",,,,,,,,,,,,8,60,6
,,check ceph cluster member status,,,,,,,,,,,,14,32,0
,,set_fact ceph_cluster_health_status,,,,,,,,,,,,6,35,4
,,check if the existing ceph is the required version or not,,,,,,,,,,,,17,57,0
,,set_fact ceph_version_check,,,,,,,,,,,,5,27,3
,,Fail if downgrade of the existing ceph required.,,,,,,,,,,,,6,48,1
,,install notario package with pip when ceph backend enabled,,,,,,,,,,,,5,58,0
,,configure opensds global info osdsdock ceph,,,,,,,,,,,,17,43,0
,,copy opensds ceph backend file to ceph config file if specify ceph backend,,,,,,,,,,,,4,74,0
,,incorrect - older/newer - version ceph is running properly,,,,,,,,,,,,5,58,3
,,"ceph cluster member health check, especially osds are up or not",,,,,,,,,,,,5,63,1
,,uninstall ceph on upgrade/downgrade installation,,,,,,,,,,,,4,48,1
,,install ceph,,,,,,,,,,,,4,12,0
,,wait until ceph stabilizes,,,,,,,,,,,,2,26,0
,,create specified pools and initialize them with default pool size.,,,,,,,,,,,,5,66,1
,,wait until defined ceph pooll are visible,,,,,,,,,,,,2,41,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-ceph_client\tasks\ceph_preinstall_apt.yml,,,59,0,5,8,0,0,0.3707883219781333,,,,,,,
,,Remove revoked ceph apt-keys,,,,,,,,,,,,10,28,1
,,"If a keyfile is provided, copy the gpg keyfile to the key location",,,,,,,,,,,,6,66,1
,,Add ceph apt-keys,,,,,,,,,,,,11,17,1
,,Add ceph repo(s),,,,,,,,,,,,7,16,2
,,Update Apt cache,,,,,,,,,,,,8,16,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\memcached\tasks\check-containers.yml,,,16,0,1,16,0,0,1,,,,,,,
,,Check memcached container,,,,,,,,,,,,16,25,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CentOS-PaaS-SIG\linchpin\dev_setup\playbooks\roles\pipeline\tasks\check_builds.yml,,,11,0,2,6,0,0,0.3137563540458568,,,,,,,
,,{{ container_config_name }} :: Wait for {{ container_config_name }} to be built and marked with latest tag,,,,,,,,,,,,8,106,14
,,Modify tags on images,,,,,,,,,,,,4,21,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\hortonworks\ansible-hortonworks\playbooks\check_dynamic_blueprint.yml,,,98,1,19,6,0,0,0.7544725633948901,,,,,,,
,Check if the dynamic blueprint requested configuration is correct,,,,,,,,,131,19,6.894736842105263,0,,,
,,Fail if there is no Ansible inventory group matching the blueprint's host_groups,,,,,,,,,,,,8,80,2
,,Fail if ZooKeeper is not present,,,,,,,,,,,,4,32,0
,,Fail if Ranger prerequisites are not met,,,,,,,,,,,,5,40,0
,,Fail if Ranger KMS prerequisites are not met,,,,,,,,,,,,4,44,0
,,Fail if Atlas prerequisites are not met,,,,,,,,,,,,7,39,0
,,Fail if Streamline prerequisites are not met,,,,,,,,,,,,4,44,0
,,Fail if Registry prerequisites are not met,,,,,,,,,,,,4,42,0
,,Fail if Druid HA prerequisites are not met,,,,,,,,,,,,5,42,0
,,Fail if Amazon Linux prerequisites are not met,,,,,,,,,,,,6,46,0
,,Fail if the selected components should not be part of an HDP 3 blueprint,,,,,,,,,,,,9,72,0
,,Fail if the selected components should not be part of an HDP 2 blueprint,,,,,,,,,,,,8,72,0
,,Fail if the required HDFS components are not part of the blueprint,,,,,,,,,,,,9,66,0
,,Fail if HA NameNode prerequisites are not met (3 JournalNodes),,,,,,,,,,,,5,62,2
,,Fail if HA NameNode prerequisites are not met (ZKFC),,,,,,,,,,,,6,52,2
,,Fail if SECONDARY_NAMENODE is present with multiple NAMENODE,,,,,,,,,,,,5,60,1
,,Fail if the required Yarn components are not part of the blueprint,,,,,,,,,,,,9,66,0
,,Fail if the required Hive components are not part of the blueprint,,,,,,,,,,,,9,66,0
,,Fail if the required Druid components are not part of the blueprint,,,,,,,,,,,,8,67,0
,,Fail if the required Accumulo components are not part of the blueprint,,,,,,,,,,,,10,70,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\RedHatQE\cinch\cinch\roles\jenkins_slave\tasks\check_swarm_errors.yml,,,10,0,2,2,0,0,0.6484149162912299,,,,,,,
,,report errors for swarm service,,,,,,,,,,,,2,31,0
,,exit with failure if swarm service could not connect to the master,,,,,,,,,,,,3,66,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\gui\cluster\tasks\chpasswdpolicy.yml,,,7,0,1,14,0,0,1,,,,,,,
,,chpasswdpolicy | Change default password Policy,,,,,,,,,,,,14,47,1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ilkilab\agorakube\roles\setup-etcd\tasks\clean-previous-etcd-install.yaml,,,11,0,2,6,0,0,0.4115305666594758,,,,,,,
,,Find old ETCD dir binaries,,,,,,,,,,,,6,26,0
,,Delete prevous etcd binaries,,,,,,,,,,,,5,28,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\contiv\ansible\roles\docker\tasks\cleanup.yml,,,16,0,5,3,0,0,0.5487707388471943,,,,,,,
,,remove all containers,,,,,,,,,,,,3,21,0
,,remove all images,,,,,,,,,,,,3,17,0
,,stop docker,,,,,,,,,,,,2,11,0
,,stop docker tcp socket,,,,,,,,,,,,2,22,0
,,cleanup iptables for docker,,,,,,,,,,,,6,27,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\playbooks\cli-overcloud-node-growvols.yaml,,,73,1,4,7,0,0,0.3794680883976629,,,,,,,
,Overcloud Node Grow Volumes,,,,,,,,,45,4,11.25,0,,,
,,Set growvols_args,,,,,,,,,,,,5,17,1
,,Output growvols_args,,,,,,,,,,,,3,20,1
,,Find the growvols utility,,,,,,,,,,,,7,25,0
,,Setting growvols path,,,,,,,,,,,,3,21,0
,,Running {{ growvols_path }} {{growvols_args}},,,,,,,,,,,,4,45,10
,,Output of growvols stdout,,,,,,,,,,,,3,25,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\EMCECS\ECS-CommunityEdition\ui\ansible\clicmd_bootstrap.yml,,,40,5,3,2,0,3,0.6145907987657837,,,,,,,
,Common | Ping data nodes before doing anything else,,,,,,,,,5,1,5.0,1,,,
,,Unknown,,,,,,,,,,,,1,0,0
,Installer | Slice nodes into OS groups for package install,,,,,,,,,6,1,6.0,1,,,
,,Unknown,,,,,,,,,,,,2,0,0
,CentOS 7 | Synchronize cache,,,,,,,,,10,0,0,1,,,
,CentOS 7 | Install cached packages,,,,,,,,,9,0,0,1,,,
,Installer | Disable torrent ffx,,,,,,,,,11,1,11.0,1,,,
,,Unknown,,,,,,,,,,,,4,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\kyl191\ansible-role-openvpn\tasks\client_keys.yml,,,73,0,11,7,0,0,0.6652571570627686,,,,,,,
,,Create openvpn ovpn file directory,,,,,,,,,,,,5,34,0
,,Copy openssl client extensions,,,,,,,,,,,,7,30,0
,,Generate client key,,,,,,,,,,,,9,19,0
,,Protect client keys,,,,,,,,,,,,6,19,0
,,Sign client key,,,,,,,,,,,,8,15,0
,,Register server ca key,,,,,,,,,,,,4,22,0
,,Register tls-auth key,,,,,,,,,,,,4,21,1
,,Register client certs,,,,,,,,,,,,6,21,0
,,Register client keys,,,,,,,,,,,,6,20,0
,,Generate client config,,,,,,,,,,,,11,22,0
,,Fetch client config,,,,,,,,,,,,9,19,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\mistral\tasks\clone.yml,,,7,0,1,7,0,0,1,,,,,,,
,,Cloning mistral source repository for development,,,,,,,,,,,,7,49,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\barbican\tasks\clone.yml,,,7,0,1,7,0,0,1,,,,,,,
,,Cloning barbican source repository for development,,,,,,,,,,,,7,50,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\senlin\tasks\clone.yml,,,7,0,1,7,0,0,1,,,,,,,
,,Cloning senlin source repository for development,,,,,,,,,,,,7,48,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\jdauphant\ansible-role-nginx\tasks\cloudflare_configuration.yml,,,18,0,3,7,0,0,0.7399783978396636,,,,,,,
,,Get list of CloudFlare IPv4,,,,,,,,,,,,8,27,0
,,Get list of CloudFlare IPv6,,,,,,,,,,,,8,27,0
,,Create independent configuration for CloudFlare,,,,,,,,,,,,6,47,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\cloudera\cloudera-playbook\roles\scm\tasks\cms.yml,,,41,0,6,6,0,0,0.33581788680839914,,,,,,,
,,Wait for agent heartbeats,,,,,,,,,,,,3,25,0
,,Unknown,,,,,,,,,,,,3,0,0
,,Setup the Cloudera Management Services (CMS),,,,,,,,,,,,15,44,2
,,Unknown,,,,,,,,,,,,3,0,0
,,Start Cloudera Management Services (CMS),,,,,,,,,,,,11,40,2
,,Unknown,,,,,,,,,,,,3,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible-internal\playbooks\roles\contrail\agent\tasks\cni.yml,,,7,0,2,2,0,0,0.7942186952060494,,,,,,,
,,Make sure cni config directories exist,,,,,,,,,,,,2,38,0
,,Create cni config,,,,,,,,,,,,2,17,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\redhat-openstack\ansible-role-tripleo-collect-logs\playbooks\collect-logs.yml,,,5,1,0,0,0,1,1,,,,,,,
,"Collect logs, create docs, publish",,,,,,,,,5,0,0,2,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\manala\ansible-roles\roles\prometheus\tasks\config.yml,,,16,0,2,8,0,0,0.9569447687780398,,,,,,,
,,Config > Directory,,,,,,,,,,,,7,18,1
,,Config > Template,,,,,,,,,,,,10,17,1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\roles\tripleo_timemaster\tasks\config.yml,,,45,0,5,7,0,0,0.7503783745628948,,,,,,,
,,Disable chronyd,,,,,,,,,,,,7,15,0
,,Disable ptp4l,,,,,,,,,,,,7,13,0
,,Disable phc2sys,,,,,,,,,,,,7,15,0
,,Install timemaster configuration file,,,,,,,,,,,,7,37,0
,,Restart timemaster with config,,,,,,,,,,,,7,30,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\manila\tasks\config.yml,,,103,0,9,12,2,0,0.6282290696972697,,,,,,,
,,Ensuring config directories exist,,,,,,,,,,,,12,33,0
,,Unknown,,,,,,,,,,,,5,0,0
,,Check if policies shall be overwritten,,,,,,,,,,,,11,38,0
,,Set manila policy file,,,,,,,,,,,,6,22,0
,,Unknown,,,,,,,,,,,,3,0,0
,,Copying over config.json files for services,,,,,,,,,,,,12,43,1
,,Copying over manila.conf,,,,,,,,,,,,20,24,1
,,Copying over manila-share.conf,,,,,,,,,,,,23,30,2
,,Copying over existing policy file,,,,,,,,,,,,12,33,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\PowerDNS\pdns_recursor-ansible\tasks\configure.yml,,,95,0,8,11,0,0,0.5831477246923453,,,,,,,
,,Unknown,,,,,,,,,,,,19,0,0
,,Ensure the PowerDNS Recursor drop-in unit overrides directory exists (systemd),,,,,,,,,,,,6,78,3
,,Override the PowerDNS Recursor unit (systemd),,,,,,,,,,,,8,45,2
,,Reload systemd,,,,,,,,,,,,3,14,0
,,Ensure that the PowerDNS Recursor configuration directory exists,,,,,,,,,,,,7,64,0
,,Generate the PowerDNS Recursor configuration,,,,,,,,,,,,8,44,0
,,Ensure that the PowerDNS Recursor 'include-dir' directory exists,,,,,,,,,,,,9,64,3
,,Unknown,,,,,,,,,,,,20,0,0
,,Ensure that the PowerDNS Recursor configuration from-files directory exists,,,,,,,,,,,,8,75,1
,,Copy the PowerDNS Recursor configuration from-files files,,,,,,,,,,,,10,57,1
,,Generate the PowerDNS Recursor Lua config-file,,,,,,,,,,,,9,46,1
,,Generate PowerDNS Recursor Lua dns-script,,,,,,,,,,,,9,41,1
,,Restart PowerDNS Recursor,,,,,,,,,,,,9,25,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ArdanaCLM\ardana-ansible\roles\deployer-setup\tasks\configure-bash.yml,,,28,0,4,2,0,0,0.8953648205140339,,,,,,,
,,Unknown,,,,,,,,,,,,1,0,0
,,Unknown,,,,,,,,,,,,2,0,0
,,deployer-setup | configure-bash | Unset HISTCONTROL in the environment,,,,,,,,,,,,3,70,4
,,deployer-setup | configure-bash | HISTCONTROL comment fixing,,,,,,,,,,,,4,60,4
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ibm-mas\ansible-devops\ibm\mas_devops\roles\suite_manage_pvc_config\tasks\configure-manage-pvcs.yml,,,52,0,7,8,0,0,0.6657622607788074,,,,,,,
,,Debug new Manage persistent volumes definitions,,,,,,,,,,,,6,47,0
,,Unknown,,,,,,,,,,,,3,0,0
,,Merge Manage Persistent Volumes configurations,,,,,,,,,,,,4,46,0
,,Debug Manage persistent volumes definitions,,,,,,,,,,,,3,43,0
,,Add the Persistent Volume definitions in ManageWorkspace CR,,,,,,,,,,,,14,59,0
,,Debug information,,,,,,,,,,,,4,17,0
,,Wait for ManageWorkspace to be ready (60s delay),,,,,,,,,,,,20,48,2
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\spantaleev\nextcloud-docker-ansible-deploy\roles\custom\nextcloud_collabora_online\tasks\configure_collabora_app.yml,,,27,0,5,6,0,0,0.37463455085240566,,,,,,,
,,Fail if Collabora not enabled,,,,,,,,,,,,5,29,0
,,Ensure nextcloud-apache is started,,,,,,,,,,,,6,34,1
,,"Wait a while, so that Nextcloud can manage to start",,,,,,,,,,,,4,51,1
,,Check existence of Nextcloud network in Docker,,,,,,,,,,,,7,46,0
,,Configure Collabora app,,,,,,,,,,,,10,23,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\HCL-TECH-SOFTWARE\connections-automation\playbooks\hcl\connections-setup-azure-oidc.yml,,,39,8,0,0,1,7,0.5060358808819213,,,,,,,
,Gather facts,,,,,,,,,3,0,0,0,,,
,Start Dmgr,,,,,,,,,5,0,0,0,,,
,Start WAS Nodes,,,,,,,,,6,0,0,0,,,
,Start CNX Clusters,,,,,,,,,5,0,0,0,,,
,Setup Azure AD OIDC authentication for Connections,,,,,,,,,5,0,0,0,,,
,Synchronize WAS nodes,,,,,,,,,5,0,0,0,,,
,Restart CNX Clusters,,,,,,,,,6,0,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\tungstenfabric\tf-ansible-deployer\playbooks\contrail_destroy.yml,,,32,2,0,0,0,2,0.6707459792726025,,,,,,,
,create container host group for Contrail destroyer,,,,,,,,,25,0,0,0,,,
,Apply role destroy to Contrail,,,,,,,,,7,0,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible-internal\playbooks\contrail_issu.yml,,,8,1,0,0,0,1,1,,,,,,,
,Contrail ISSU,,,,,,,,,9,0,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible\playbooks\roles\node\tasks\contrailctl_facts.yml,,,28,0,2,6,0,0,0.8294825860728389,,,,,,,
,,set facts for global vars,,,,,,,,,,,,6,25,0
,,set facts for non-global vars,,,,,,,,,,,,6,29,1
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\geerlingguy\ansible-role-php-xhprof\molecule\default\converge.yml,,,21,1,0,0,0,4,1,,,,,,,
,Converge,,,,,,,,,21,0,0,0,,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sensu\sensu-go-ansible\tests\integration\molecule\module_silence\converge.yml,,,154,1,26,6,0,0,0.6500520224585083,,,,,,,
,Converge,,,,,,,,,152,26,5.846153846153846,0,,,
,,Create silence without parameters,,,,,,,,,,,,6,33,0
,,Unknown,,,,,,,,,,,,4,0,0
,,Create silence with only check parameter,,,,,,,,,,,,6,40,0
,,Unknown,,,,,,,,,,,,5,0,0
,,Create silence with only check parameter idempotence,,,,,,,,,,,,6,52,0
,,Unknown,,,,,,,,,,,,3,0,0
,,Create silence with only subscription parameter,,,,,,,,,,,,6,47,0
,,Unknown,,,,,,,,,,,,5,0,0
,,Create silence with only subscription parameter idempotence,,,,,,,,,,,,6,59,0
,,Unknown,,,,,,,,,,,,3,0,0
,,Create a silence,,,,,,,,,,,,11,16,0
,,Unknown,,,,,,,,,,,,11,0,0
,,Test silence creation idempotence,,,,,,,,,,,,11,33,0
,,Unknown,,,,,,,,,,,,2,0,0
,,Modify a silence,,,,,,,,,,,,8,16,0
,,Unknown,,,,,,,,,,,,7,0,0
,,Create a second silence,,,,,,,,,,,,6,23,0
,,Fetch all silences,,,,,,,,,,,,5,18,0
,,Unknown,,,,,,,,,,,,5,0,0
,,Fetch a specific silence,,,,,,,,,,,,7,24,0
,,Unknown,,,,,,,,,,,,5,0,0
,,Delete a silence,,,,,,,,,,,,6,16,0
,,Fetch all silecnes,,,,,,,,,,,,5,18,0
,,Unknown,,,,,,,,,,,,5,0,0
,,Try to fetch non-existing silence,,,,,,,,,,,,7,33,1
,,Unknown,,,,,,,,,,,,3,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\redhat-openstack\ansible-role-tripleo-image-build\tasks\convert_undercloud.yml,,,33,0,6,6,0,0,0.459661435365696,,,,,,,
,,Get the undercloud base image,,,,,,,,,,,,5,29,0
,,Resize undercloud image (create target image),,,,,,,,,,,,7,45,2
,,Resize undercloud image (call virt-resize),,,,,,,,,,,,6,42,3
