Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction,Insufficient Modularization,Inconsistent Naming Convention,Large Play,Unnamed Play,Large Task,Long Task Name
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\freeipa\ansible-freeipa\playbooks\sudorule\ensure-sudorule-host-member-is-absent.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,Tests,,,,,,,,,,,,0,0,,
,,Ensure host 'server' is absent in sudorule,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\linux-system-roles\network\tests\tasks\provider\default_with_nm.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Include network role,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible\kolla-ansible\ansible\roles\sahara\handlers\main.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Restart sahara-api container,,,,,,,,,,,,,1,0
,,Restart sahara-engine container,,,,,,,,,,,,,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\geerlingguy\ansible-role-php-xhprof\molecule\default\converge.yml,,,0,0,0,0,0,0,0,0,0,,,,,
,Converge,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sodafoundation\installer\ansible\roles\osdsdock\scenarios\ceph.yml,,,0,1,0,1,1,0,1,0,0,0,,,,
,,ceph pre-flight check,,,,,,,,,,,,,0,0
,,check ceph exists,,,,,,,,,,,,,0,0
,,check the installed ceph version,,,,,,,,,,,,,0,0
,,set_fact installed_ceph_version,,,,,,,,,,,,,0,0
,,check if the installed ceph is healthy or not,,,,,,,,,,,,,0,0
,,set_fact ceph_health,,,,,,,,,,,,,0,0
,,stat /etc/ceph/ceph.conf,,,,,,,,,,,,,0,0
,,"paranoia check for ""/etc/ceph/ceph.conf"" and its consistency",,,,,,,,,,,,,0,0
,,check ceph cluster member status,,,,,,,,,,,,,0,0
,,set_fact ceph_cluster_health_status,,,,,,,,,,,,,0,0
,,check if the existing ceph is the required version or not,,,,,,,,,,,,,1,0
,,set_fact ceph_version_check,,,,,,,,,,,,,0,0
,,Fail if downgrade of the existing ceph required.,,,,,,,,,,,,,0,0
,,install notario package with pip when ceph backend enabled,,,,,,,,,,,,,0,0
,,configure opensds global info osdsdock ceph,,,,,,,,,,,,,1,0
,,copy opensds ceph backend file to ceph config file if specify ceph backend,,,,,,,,,,,,,0,0
,,incorrect - older/newer - version ceph is running properly,,,,,,,,,,,,,0,0
,,"ceph cluster member health check, especially osds are up or not",,,,,,,,,,,,,0,0
,,uninstall ceph on upgrade/downgrade installation,,,,,,,,,,,,,0,0
,,install ceph,,,,,,,,,,,,,0,0
,,wait until ceph stabilizes,,,,,,,,,,,,,0,0
,,create specified pools and initialize them with default pool size.,,,,,,,,,,,,,0,0
,,wait until defined ceph pooll are visible,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\starlingx\ansible-playbooks\playbookconfig\src\playbooks\roles\update-subcloud\prepare-env\tasks\main.yml,,,0,0,0,0,1,0,0,0,0,,,,,
,unknown,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_object\node\tasks\install_remote_pkg.yml,,,0,0,0,0,1,0,0,0,0,,,,,
,unknown,,,,,,,,,,,,0,0,,
,unknown,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\openstack-ansible-haproxy_server\tasks\haproxy_ssl_letsencrypt.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Install certbot from distro package,,,,,,,,,,,,,0,0
,,Create first time ssl cert with certbot,,,,,,,,,,,,,1,0
,,Create certbot pre hook,,,,,,,,,,,,,0,0
,,Create certbot post renewal hook,,,,,,,,,,,,,0,0
,,Create new pem file for haproxy,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\dellhpc\omnia\security\roles\secure_login_node\tasks\ipa_configuration.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Modify the freeipa global password policy,,,,,,,,,,,,,0,0
,,Create sysadmin group,,,,,,,,,,,,,0,0
,,Create sysadmin_sudo rule,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\oravirt\ansible-oracle\roles\oraswgi_manage_patches\tasks\main.yml,,,0,0,0,1,0,0,0,0,0,0,,,,
,,gi_opatch | check if GI has been configured,,,,,,,,,,,,,0,0
,,gi_opatch | set fact for patch_before_rootsh,,,,,,,,,,,,,0,0
,,gi_opatch | Create patch-base directory (version specific),,,,,,,,,,,,,0,0
,,include transfer-files.yml,,,,,,,,,,,,,0,0
,,include unpack-files.yml,,,,,,,,,,,,,0,0
,,include opatch-upgrade.yml,,,,,,,,,,,,,0,0
,,gi_opatch | Check current opatch version,,,,,,,,,,,,,0,0
,,gi_opatch | Configure ocm.rsp (1),,,,,,,,,,,,,0,0
,,gi_opatch | Configure ocm.rsp (2),,,,,,,,,,,,,0,0
,,gi_opatch | Manage opatchauto patches for GI (after software only install),,,,,,,,,,,,,1,0
,,gi_opatch | Manage opatchauto patches for GI,,,,,,,,,,,,,1,0
,,gi_opatch | Manage non opatchauto patches for GI,,,,,,,,,,,,,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\jdauphant\ansible-role-nginx\tasks\cloudflare_configuration.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Get list of CloudFlare IPv4,,,,,,,,,,,,,0,0
,,Get list of CloudFlare IPv6,,,,,,,,,,,,,0,0
,,Create independent configuration for CloudFlare,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\playbooks\cli-overcloud-node-growvols.yaml,,,0,0,0,0,1,0,1,0,0,0,,,,
,Overcloud Node Grow Volumes,,,,,,,,,,,,0,0,,
,,Set growvols_args,,,,,,,,,,,,,0,0
,,Output growvols_args,,,,,,,,,,,,,0,0
,,Find the growvols utility,,,,,,,,,,,,,0,0
,,Setting growvols path,,,,,,,,,,,,,0,0
,,Running {{ growvols_path }} {{growvols_args}},,,,,,,,,,,,,0,0
,,Output of growvols stdout,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\AtlasOfLivingAustralia\ala-install\ansible\dashboard.yml,,,0,0,0,0,0,0,0,0,0,,,,,
,unknown,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\redhat-openstack\khaleesi\roles\patch_rpm\tasks\patch-rpm.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Apply patch on dist-git,,,,,,,,,,,,,0,0
,,Write the epoch so the package does not get updated by older versions,,,,,,,,,,,,,0,0
,,Build an rpm from patched dist-git,,,,,,,,,,,,,0,0
,,set fact - rpm build result,,,,,,,,,,,,,0,0
,,Check for 'non-exist file' errors,,,,,,,,,,,,,0,0
,,Fail run if rpm build failed,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\yatesr\ansible-timezone\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Unknown,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\redhat-openstack\khaleesi\playbooks\installer\rdo-manager\undercloud\run.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,install the undercloud,,,,,,,,,,,,0,0,,
,,"update hosts file for localhost.localhost (workaround for puppet, discovered on centos7)",,,,,,,,,,,,,0,1
,,install the undercloud,,,,,,,,,,,,,0,0
,,get overview about what went wrong in undercloud installation,,,,,,,,,,,,,0,0
,,check if undercloud failed,,,,,,,,,,,,,0,0
,,copy files to home,,,,,,,,,,,,,0,0
,,chown files for stack user,,,,,,,,,,,,,0,0
,confirm installing the undercloud is idempotent,,,,,,,,,,,,0,0,,
,,install the undercloud,,,,,,,,,,,,,0,0
,,get overview about what went wrong in idempotent undercloud installation,,,,,,,,,,,,,0,0
,,check if idempotent undercloud installation failed,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\AtlasOfLivingAustralia\ala-install\ansible\roles\fieldguide\tasks\main.yml,,,0,0,0,0,0,0,1,0,0,0,,,,
,,Unknown,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,add nginx vhost if configured,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,ensure target directories exist [data subdirectories etc.],,,,,,,,,,,,,0,0
,,copy all config.properties,,,,,,,,,,,,,0,0
,,set data ownership,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-quickstart\roles\libvirt\setup\undercloud\tasks\customize_overcloud.yml,,,0,0,0,0,0,0,0,0,0,,,,,
,unknown,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible\kolla-ansible\ansible\roles\panko\tasks\pull.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Pulling panko-api image,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sassoftware\viya4-deployment\roles\multi-tenancy\tasks\tenant-pod-templates.yaml,,,0,0,0,0,0,0,0,0,0,0,,,,
,FileGenerator updates for tenant-specific resources,,,,,,,,,,,,0,0,,
,,delete tenant-specific resource directories if present,,,,,,,,,,,,,0,0
,,create a new directory for each tenant under $deploy/site-config/multi-tenant/,,,,,,,,,,,,,0,1
,,copy - sas-programming-environment files,,,,,,,,,,,,,0,0
,,list all the pod templates to be updated,,,,,,,,,,,,,0,0
,,replace all occurrences of SAS-TENANT-ID with the ID of the tenant,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\ansible-role-python_venv_build\tests\test.yml,,,1,1,0,1,1,0,0,0,0,0,,,,
,Prepare web server on localhost to serve python packages,,,,,,,,,,,,0,0,,
,Verify not using a build host,,,,,,,,,,,,0,0,,
,,Set venv_build_archive_path and venv_install_source_path,,,,,,,,,,,,,0,0
,,Install EPEL gpg keys,,,,,,,,,,,,,0,0
,,Install the EPEL repository,,,,,,,,,,,,,1,0
,,Install distro packages,,,,,,,,,,,,,0,0
,,Enable and start nginx,,,,,,,,,,,,,0,0
,Verify using a build host,,,,,,,,,,,,0,0,,
,,Execute venv install,,,,,,,,,,,,,0,0
,,refresh local facts,,,,,,,,,,,,,0,0
,,Show the ansible_local facts,,,,,,,,,,,,,0,0
,,Verify that the facts were set,,,,,,,,,,,,,0,0
,,Find files/folders on targets,,,,,,,,,,,,,0,0
,,Compile the folder list from the targets,,,,,,,,,,,,,0,0
,,Show the files/folder from the targets,,,,,,,,,,,,,0,0
,,Verify the folder list from the targets,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\UCCNetsoc\NaC\roles\git\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Install git,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\EMCECS\ECS-CommunityEdition\ui\ansible\clicmd_bootstrap.yml,,,0,0,0,1,0,0,0,0,0,0,,,,
,Common | Ping data nodes before doing anything else,,,,,,,,,,,,0,0,,
,,Unknown,,,,,,,,,,,,,0,0
,Installer | Slice nodes into OS groups for package install,,,,,,,,,,,,0,0,,
,,Unknown,,,,,,,,,,,,,0,0
,CentOS 7 | Synchronize cache,,,,,,,,,,,,0,0,,
,CentOS 7 | Install cached packages,,,,,,,,,,,,0,0,,
,Installer | Disable torrent ffx,,,,,,,,,,,,0,0,,
,,Unknown,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\theforeman\forklift\roles\freeipa_server\tasks\install_freeipa_server.yml,,,0,0,0,0,0,0,1,0,0,0,,,,
,,Install FreeIPA server packages (this could take a while),,,,,,,,,,,,,0,0
,,Fix /etc/hosts record for self,,,,,,,,,,,,,0,0
,,Fix /etc/hosts freeipa installation,,,,,,,,,,,,,0,0
,,Ensure localhost record is in /etc/hosts,,,,,,,,,,,,,0,0
,,Run FreeIPA Install,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\tripleo-ansible\tripleo_ansible\roles\tripleo_packages\molecule\external_upgrade\prepare.yml,,,0,0,0,0,0,0,0,0,0,,,,,
,Prepare,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\alvistack\ansible-role-jira\tasks\main.yml,,,0,0,0,1,0,0,1,0,0,0,,,,
,,include default variables,,,,,,,,,,,,,0,0
,,include release specific variables,,,,,,,,,,,,,1,0
,,include release specific tasks,,,,,,,,,,,,,1,0
,,groupadd,,,,,,,,,,,,,0,0
,,useradd,,,,,,,,,,,,,0,0
,,prepare directories,,,,,,,,,,,,,1,0
,,copy templates,,,,,,,,,,,,,1,0
,,prepare files,,,,,,,,,,,,,1,0
,,patch /opt/atlassian/jira/atlassian-jira/WEB-INF/web.xml,,,,,,,,,,,,,0,0
,,flush handlers,,,,,,,,,,,,,0,0
,,systemctl start jira.service,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\HCL-TECH-SOFTWARE\connections-automation\playbooks\hcl\connections-setup-azure-oidc.yml,,,0,0,0,1,0,0,0,0,0,,,,,
,Gather facts,,,,,,,,,,,,0,0,,
,Start Dmgr,,,,,,,,,,,,0,0,,
,Start WAS Nodes,,,,,,,,,,,,0,0,,
,Start CNX Clusters,,,,,,,,,,,,0,0,,
,Setup Azure AD OIDC authentication for Connections,,,,,,,,,,,,0,0,,
,Synchronize WAS nodes,,,,,,,,,,,,0,0,,
,Restart CNX Clusters,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\jmunixusers\cs-vm-build\roles\filezilla\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Install Filezilla package,,,,,,,,,,,,,0,0
,,Create Filezilla configuration directory,,,,,,,,,,,,,0,0
,,Copy template default Filezilla configuration,,,,,,,,,,,,,0,0
,,Attempt to copy Filezilla filters,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ArdanaCLM\ardana-ansible\roles\service-guest-image\tasks\upload_image.yml,,,0,0,0,0,1,0,0,0,0,1,,,,
,,Unknown,,,,,,,,,,,,,0,0
,,service-guest-image | upload-image | get checksum for new image,,,,,,,,,,,,,0,0
,,service-guest-image | upload-image | find image that matches the checksum and name,,,,,,,,,,,,,1,1
,,service-guest-image | upload-image | Upload new datastore image,,,,,,,,,,,,,1,0
,,service-guest-image | upload-image | use image id from glance upload,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\debops\debops\ansible\playbooks\service\redis_server.yml,,,0,0,0,1,0,0,0,0,0,,,,,
,Manage Redis server,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\sensu\sensu-go-ansible\tests\integration\molecule\module_silence\converge.yml,,,1,1,0,1,0,0,0,0,0,0,,,,
,Converge,,,,,,,,,,,,0,0,,
,,Create silence without parameters,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Create silence with only check parameter,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Create silence with only check parameter idempotence,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Create silence with only subscription parameter,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Create silence with only subscription parameter idempotence,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Create a silence,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Test silence creation idempotence,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Modify a silence,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Create a second silence,,,,,,,,,,,,,0,0
,,Fetch all silences,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Fetch a specific silence,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Delete a silence,,,,,,,,,,,,,0,0
,,Fetch all silecnes,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Try to fetch non-existing silence,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\nuancier\tasks\main.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,install needed packages,,,,,,,,,,,,,0,0
,,copy sundry nuancier configuration,,,,,,,,,,,,,1,0
,,create pictures folder where we upload the pictures,,,,,,,,,,,,,0,0
,,create the cache folder where nuancier creates the thumbnails,,,,,,,,,,,,,0,0
,,create the database scheme,,,,,,,,,,,,,0,0
,,replace the nuancier configuration file by the one with the normal user,,,,,,,,,,,,,1,0
,,set sebooleans so nuancier can talk to the db,,,,,,,,,,,,,0,0
,,apply selinux type to static files,,,,,,,,,,,,,0,0
,,set sebooleans so apache can use glusterfs,,,,,,,,,,,,,0,0
,,set sebooleans so apache can send emails,,,,,,,,,,,,,0,0
,,apply selinux type to the wsgi file,,,,,,,,,,,,,0,0
,,Install SAR script for nuancier,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\henrysher\fedora-infra-ansible\roles\simple-koji-ci\tasks\main.yml,,,0,0,0,0,0,0,1,0,0,0,,,,
,,install needed packages,,,,,,,,,,,,,0,0
,,copy simple-koji-ci configuration,,,,,,,,,,,,,1,0
,,Unknown,,,,,,,,,,,,,0,0
,,Create /usr/share/fedmsg since apparently fedmsg doesn't do it anymore,,,,,,,,,,,,,0,0
,,Start and enable the services we want,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\redhat-gpte-devopsautomation\FTL\courses\cp-ocp-admin-storage\lab_storage_management\solve_lab.yml,,,0,1,0,1,1,0,0,0,0,0,,,,
,Solve lab App Management Basics of cp-ocp-admin-storage workshop,,,,,,,,,,,,0,0,,
,,switch to app management project just in case,,,,,,,,,,,,,0,0
,,Check for a PVC called 'mapit-storage',,,,,,,,,,,,,0,0
,,register the pvc information as a fact if the pvc exists,,,,,,,,,,,,,0,0
,,ensure pvc is bound,,,,,,,,,,,,,0,0
,,Check for existing mapit storage configuration,,,,,,,,,,,,,0,0
,,register the deploymentconfig as a fact,,,,,,,,,,,,,0,0
,,Add storage to mapit app,,,,,,,,,,,,,0,0
,,Check for deployed mapit storage configuration,,,,,,,,,,,,,0,0
,,register the new deploymentconfig information as a fact,,,,,,,,,,,,,0,0
,,check the volume information in the deploymentconfig,,,,,,,,,,,,,0,0
,,Check for a PVC called 'mapit-storage',,,,,,,,,,,,,0,0
,,register the pvc information as a fact,,,,,,,,,,,,,0,0
,,wait for pvc to be bound,,,,,,,,,,,,,0,0
,,Check for DeploymentConfig revision,,,,,,,,,,,,,0,0
,,get pod name for latest deployment config,,,,,,,,,,,,,0,0
,,Wait for pod ready,,,,,,,,,,,,,0,0
,,check for directory mount,,,,,,,,,,,,,0,0
,,create test file in directory mount,,,,,,,,,,,,,0,0
,,destroy the pod to test that storage is working,,,,,,,,,,,,,0,0
,,get pod name for latest deployment config,,,,,,,,,,,,,0,0
,,Wait for pod ready,,,,,,,,,,,,,0,0
,,check for the file in the new pod,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\spantaleev\nextcloud-docker-ansible-deploy\roles\custom\nextcloud_collabora_online\tasks\configure_collabora_app.yml,,,0,0,0,0,0,0,1,0,0,0,,,,
,,Fail if Collabora not enabled,,,,,,,,,,,,,0,0
,,Ensure nextcloud-apache is started,,,,,,,,,,,,,0,0
,,"Wait a while, so that Nextcloud can manage to start",,,,,,,,,,,,,0,0
,,Check existence of Nextcloud network in Docker,,,,,,,,,,,,,0,0
,,Configure Collabora app,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ansible-network\resource_module_models\replaced_example_01.yaml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Replace module attributes of given access-groups,,,,,,,,,,,,,0,0
,,Replaces device configuration of listed acl with provided configuration,,,,,,,,,,,,,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\debops\debops\ansible\playbooks\service\roundcube.yml,,,0,0,0,1,0,0,0,0,0,,,,,
,Install and manage Roundcube Web mail,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\cjeanner\tripleo-lab\roles\builder\tasks\libvirt.yaml,,,0,0,0,1,1,0,1,0,0,0,,,,
,common tags,,,,,,,,,,,,0,0,,
,run tasks as virt_user user,,,,,,,,,,,,0,0,,
,,Set nested KVM if wanted,,,,,,,,,,,,,0,0
,,Create symlink if needed,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\fgci-org\fgci-ansible\admin_ohpc.yml,,,0,0,0,1,0,0,0,0,0,,,,,
,Configure Admin Node,,,,,,,,,,,,0,0,,
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\IBM\ibm-spectrum-scale-install-infra\roles\scale_fileauditlogging\node\tasks\yum\install.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,install | Install GPFS file audit logging packages,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\andrewrothstein\ansible-miniconda\subrepos\udst.ansible-conda\tests\integration\tasks\test-failures.yml,,,1,0,0,0,0,0,0,0,0,0,,,,
,,install Conda packge that does not exist (expect failure),,,,,,,,,,,,,0,0
,,verify failure,,,,,,,,,,,,,0,0
,,install Conda packge version that does not exist (expect failure),,,,,,,,,,,,,0,0
,,verify failure,,,,,,,,,,,,,0,0
,,"install latest Conda packge, fixed at a specific version (expect failure)",,,,,,,,,,,,,0,0
,,verify failure,,,,,,,,,,,,,0,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\Juniper\contrail-ansible\kolla-ansible\ansible\roles\searchlight\tasks\bootstrap_service.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Running Searchlight bootstrap container,,,,,,,,,,,,,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\ibm-mas\ansible-devops\ibm\mas_devops\roles\suite_manage_pvc_config\tasks\configure-manage-pvcs.yml,,,0,0,0,0,0,1,0,0,0,0,,,,
,,Debug new Manage persistent volumes definitions,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,,Merge Manage Persistent Volumes configurations,,,,,,,,,,,,,0,0
,,Debug Manage persistent volumes definitions,,,,,,,,,,,,,0,0
,,Add the Persistent Volume definitions in ManageWorkspace CR,,,,,,,,,,,,,0,0
,,Debug information,,,,,,,,,,,,,0,0
,,Wait for ManageWorkspace to be ready (60s delay),,,,,,,,,,,,,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\starlingx\ansible-playbooks\playbookconfig\src\playbooks\roles\bootstrap\store-passwd\tasks\main.yml,,,0,0,0,1,1,1,0,0,0,0,,,,
,unknown,,,,,,,,,,,,0,0,,
,,Unknown,,,,,,,,,,,,,0,0
,,Unknown,,,,,,,,,,,,,0,0
,unknown,,,,,,,,,,,,0,0,,
,,Print warning if admin credentials are not stored in vault,,,,,,,,,,,,,0,0
,,Set admin username and password facts,,,,,,,,,,,,,0,0
,unknown,,,,,,,,,,,,0,0,,
,,Look for password rules file,,,,,,,,,,,,,0,0
,,Fail if password rules file is missing,,,,,,,,,,,,,0,0
,,Get password rules,,,,,,,,,,,,,0,0
,,Get password rules description,,,,,,,,,,,,,0,0
,,Set password regex facts,,,,,,,,,,,,,0,0
,,Fail if password regex cannot be found,,,,,,,,,,,,,0,0
,,Set password regex description fact,,,,,,,,,,,,,0,0
,,Validate admin password,,,,,,,,,,,,,0,0
,,Fail if provided admin password does not meet required complexity,,,,,,,,,,,,,0,0
,,Store admin password,,,,,,,,,,,,,1,0
,unknown,,,,,,,,,,,,0,0,,
,,Set temp keyring directory fact,,,,,,,,,,,,,0,0
,,Create temp keyring directory,,,,,,,,,,,,,0,0
,,Prefetch the keyring from the tarball,,,,,,,,,,,,,0,0
,,Remove the unwanted directory,,,,,,,,,,,,,0,0
,unknown,,,,,,,,,,,,0,0,,
,,Store service passwords,,,,,,,,,,,,,1,0
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\mistral\tasks\clone.yml,,,0,0,0,0,0,0,0,0,0,0,,,,
,,Cloning mistral source repository for development,,,,,,,,,,,,,0,0
